Case Number,Date/Time Opened,Term,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2021-191248,12/11/2021 15:39,Term 4,Violence,Metropolitan South and West,Woronora River,Assault,,Staff Welfare Concerns,A staff member reports well-being concerns after being assaulted by a student in a ####  state who was absconding from school grounds. First aid applied. Carer informed. Police and Ambulance contacted. Support is in place. Executive staff are aware.,1,On workplace grounds
S-2021-191358,12/11/2021 16:22,Term 4,Violence,Metropolitan South and West,Glenfield,Assault,,Student Behaviour,"An Executive staff member reports a student has assaulted a staff member on school grounds. Police were called and attended. Parent notified. Ambulance contacted and conveyed the student to hospital. Support is in place. Director, Educational Leadership to be informed.",1,On workplace grounds
S-2021-191369,12/11/2021 16:26,Term 4,Violence,Regional North,Glenrock,Assault,,Staff Welfare Concerns,"An executive staff member reports being assaulted by a parent who displayed aggressive and threatening behaviour on school grounds. Police informed. Support is in place for the student and staff impacted. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-191409,12/11/2021 16:43,Term 4,Welfare,Metropolitan South,Beverly Hills,Self Harm,,Sexting,"An Executive staff member reports wellbeing concerns for a student who has ##### following an inappropriate video being shown to students by another student. Parents were contacted and collected the student. #### reporting has been followed. Media unit will be notified and supports are in place for the student. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-191581,15/11/2021 8:01,Term 4,Violence,Metropolitan North,Mount Druitt,Assault,,,"School reports of several students being involved in a physical assault with students from neighbouring schools off school grounds. Police were notified and attended. Media Unit will be notified. Executive staff and Director, Educational Leadership are aware.",1,On workplace grounds
S-2021-191624,15/11/2021 8:42,Term 4,Emergency Situation,Regional North,Mooney Mooney,Utility Failure,,,Executive employee reports a planned power outage on school grounds. Director Educational Leadership is aware.,1,On workplace grounds
S-2021-191652,15/11/2021 8:52,Term 4,Violence,Regional South,Lake Illawarra North,Assault,,,"Executive staff member reports of ####  students being involved in a physical assault and a staff member also being assaulted. First aid required for ##### student. Parents were notified. Media unit will be advised. Police will be contacted. Director, Educational Leadership will be advised.",1,On workplace grounds
S-2021-191780,15/11/2021 9:49,Term 4,Violence,Rural South and West,Far West,Indecent Assault,,,"A staff member reports an incident of ##### assault by a student on school grounds. No reported injuries. Supports have been offered. #### reporting will be followed. Executive staff and Director, Educational Leadership to be informed.",1,On workplace grounds
S-2021-192028,15/11/2021 11:50,Term 4,Welfare,Metropolitan South and West,Glenfield,Student Welfare Concerns,Absconding / Missing Student,Threat / Intimidation / Offens. Conduct,Executive staff report #### students have verbally abused staff on school grounds. Parents and carers contacted. Once student has absconded from school grounds. Student's whereabouts is still currently unknown. Police have been informed. School is managing the matter and supports are place.,1,On workplace grounds
S-2021-192152,15/11/2021 12:45,Term 4,Emergency Situation,Regional North and West,Lithgow,Utility Failure,,,An employee reports a utility failure on school grounds. The school remained operational. Parents were contacted and Director Educational Leadership were advised.,1,On workplace grounds
S-2021-192212,15/11/2021 13:24,Term 4,Violence,Regional North,Blue Mountains,Assault,,,Executive employee reports ####  students were in physical altercation on school grounds. First aid applied. Parents contacted. Police contacted. Director Educational Leadership is aware.,1,On workplace grounds
S-2021-192283,15/11/2021 14:00,Term 4,Violence,Metropolitan South,Georges River,Indecent Assault,,,Executive staff member reports student disclosing another student alleges a student ####  assaulted her on school grounds. #### reporting has been followed. Supports have been put in place. Parents have been contacted. ######,1,On workplace grounds
S-2021-192475,15/11/2021 15:15,Term 4,Violence,Metropolitan South and West,Glenfield,Indecent Assault,,,Executive employee reports a student has disclosed an ##### assault on school grounds. Police to be contacted. Supports will be put in place for students involved. Director Educational Leadership to be notified.,1,On workplace grounds
S-2021-192606,15/11/2021 16:20,Term 4,Violence,Regional South,Campbelltown,Assault,,,Executive staff report ####  students have been involved in a physical altercation on school grounds. First aid administered. Parents informed and paramedics contacted for ##### student who was transported via ambulance to hospital for further medical treatment. Parent accompanied them. School is managing the matter and supports are in place. The Director of Educational Leadership will be notified.,1,On workplace grounds
S-2021-193206,16/11/2021 10:00,Term 4,Violence,Metropolitan South and West,Bankstown,Assault,,Nuisance Use of Technology,"An executive staff member reports an assault between students on school grounds. The assault was filmed and footage has been disseminated by students. No injuries sustained. Parents notified and conveyed a student home. Media unit will be informed. Support is in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2021-193319,16/11/2021 11:00,Term 4,Violence,Rural South and West,Mitchell,Indecent Assault,,Problematic and Harmful Sexualised Behaviour,Executive staff member reports incidents of ##### assault on school grounds and student engaging in inappropriate behaviours towards other students and staff. #### reporting has been followed. Parents will be contacted. ######,1,On workplace grounds
