Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2023-451737,4/04/2023 12:37,Term 1,Welfare,Regional South,Lake Illawarra North,Suicidal Intentions,,Usage and Consumption of Substances,"Executive staff report student was found to be under the influence of a #######  substance on school grounds. Parents contacted Student absconded from school grounds. Student contacted parent expressing ##### intentions. Emergency services contacted. Student was located and assessed by paramedics at home. Supports are in place. ##### will be completed. Director, Educational Leadership will be notified",1,On workplace grounds
S-2023-452020,4/04/2023 14:07,Term 1,Violence,Rural South and West,Deniliquin,Threat / Intimidation / Offens. Conduct,,,An executive staff member reports ##### students made threats towards another student on school grounds. The school enacted a temporary lockdown. The police were called and attended. The school is managing the matter. Executive staff are aware.,1,On workplace grounds
S-2023-452081,4/04/2023 14:22,Term 1,Welfare,Regional North and West,Bathurst,Student Behaviour,,,"An executive staff member reports a student physically impacted ####### staff on school grounds. ##### employee was taken to hospital. The student was collected by their carer. School continue to manage. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-452138,4/04/2023 14:37,Term 1,Welfare,Metropolitan South and West,Fairfield,Problematic and Harmful Sexualised Behaviour,,,An executive staff member reports student welfare concerns following an incident of problematic and harmful ##### behaviour on school grounds. Parent is aware. ##### has been followed. Supports are in place. ####### ,1,On workplace grounds
S-2023-452217,4/04/2023 14:59,Term 1,Violence,Metropolitan South and West,Eastern Creek,Indecent Assault,,,"An executive staff member reports an alleged ##### assault involving ##### students on school grounds. No injuries were sustained. Parents were notified. ##### was completed and police were contacted. Supports will be provided to the students and the Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-452280,4/04/2023 15:19,Term 1,Violence,Connected Communities Team 1,Connected Communities Team 1,Indecent Assault,,Problematic and Harmful Sexualised Behaviour,"An Executive Staff member reported well-being concerns following an allegation of ##### assault that occurred on school grounds. ##### has been followed. ##### has been followed. Director, Educational Leadership is aware. ####### ",1,On workplace grounds
S-2023-452336,4/04/2023 15:32,Term 1,Weapon,Rural North,Lennox Coast,Possession of a Weapon,,Possession of a Substance,An Executive staff member reports that ##### student's were possession of a weapon and a substance on school grounds. No injuries were sustained. Parents were contacted. Supports are in place. The school is managing the matter. Police will be contacted. Executive staff are aware,1,On workplace grounds
S-2023-452469,4/04/2023 15:59,Term 1,Weapon,Metropolitan South and West,Penrith,Located Weapon,,,"A staff member reports located weapon paraphernalia on school grounds. No injuries were sustained. Police have been called. Executive staff are aware. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-452492,4/04/2023 16:06,Term 1,Violence,Metropolitan South,Girraween,Threat / Intimidation / Offens. Conduct,,,"An executive employee reports a student displayed #######  behaviour on school grounds. No injuries sustained. Supports in place. Parents contacted. Police to be contacted. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-452507,4/04/2023 16:10,Term 1,Violence,Metropolitan South,Girraween,Assault,,,"An executive employee reports a student assaulted another student on school grounds. No first aid administered. Supports in place. Parents are aware. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-452530,4/04/2023 16:18,Term 1,Welfare,Rural South and West,Eden-Monaro,Student Behaviour,,,A staff member reports student behaviour on school grounds. No injuries were sustained. Parents have been contacted. Police will be advised. Supports will be organised. ##### has been followed. Executive staff have been made aware,1,On workplace grounds
S-2023-452534,4/04/2023 16:20,Term 1,Welfare,Regional South,South Coast,Student Behaviour,,,"Executive staff report that a student has displayed ####### student behaviour on school grounds destroying school property. Carers and Police contacted. A lockdown was placed on part of the school. Police attended and student was transported home by carer. School is managing the matter and supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-452686,4/04/2023 17:10,Term 1,Violence,Regional North and West,Maitland,Assault,,Threat / Intimidation / Offens. Conduct,A staff member reports a student has assaulted ####### staff members on school grounds. Injuries were sustained. School called for a lockdown which was lifted a short time later. Parents were contacted and student was conveyed home.,1,On workplace grounds
S-2023-452896,5/04/2023 8:45,Term 1,Violence,Metropolitan South,Girraween,Assault,,,Employee reports ##### students were in a #######  altercation on school grounds.##### student was conveyed to the hospital by ambulance. First aid was administered. The police have attended. Executive staff are aware.,1,On workplace grounds
S-2023-452999,5/04/2023 9:14,Term 1,Emergency Situation,Rural North,Barwon,Utility Failure,,,"Executive staff report a utility failure on school grounds. Communications have been out. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-453122,5/04/2023 10:04,Term 1,Welfare,Regional North and West,Hastings,Attempted Suicide,,,An employee reports a student attempted ##### on school grounds. An Ambulance was contacted and the student was conveyed to Hospital. Carers and Executive staff are aware.,1,On workplace grounds
