Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2023-375297,9/01/2023 8:45,Term 1,Emergency Situation,Metropolitan South,Parramatta,Structural Fire,,,"A staff member reports a fire causing some damage to school property over the school holidays. No physical injuries were sustained. Emergency Services were contacted and attended. Asset Management Unit have been notified. Supports are in place. Director, Educational Leadership has been made aware.",1,On workplace grounds
S-2023-375345,9/01/2023 13:10,Term 1,Welfare,Regional South,Shoalhaven,Problematic and Harmful Sexualised Behaviour,,,School staff member reports student engaging in inappropriate behaviour towards another student. ##### has been followed. #####,1,On workplace grounds
S-2023-375355,9/01/2023 14:09,Term 1,Welfare,Regional South,Camden,Problematic and Harmful Sexualised Behaviour,,,School staff member reports student engaging in inappropriate behaviour towards other students. ##### followed. #####,1,On workplace grounds
S-2023-375391,10/01/2023 13:18,Term 1,Violence,Regional North and West,Hastings,Indecent Assault,,,Executive staff member reports student disclosing incidents of ##### Assault during an off site activity by another student. ##### has been followed. #####,1,Off site activity
S-2023-375628,20/01/2023 9:33,Term 1,Emergency Situation,Regional North and West,Wambuul-Macquarie,Utility Failure,,,School reports of a fault in a power equipment on school grounds. Emergency services were called and attended. No damage to school. Executive staff aware.,1,On workplace grounds
S-2023-375733,23/01/2023 14:16,Term 1,Emergency Situation,Metropolitan South and West,Sutherland,Structural Fire,,,"An executive reports of a structural fire within school grounds. Emergency services contacted. No injuries reported, Director of Educational Leadership will be notified.",1,On workplace grounds
S-2023-375973,27/01/2023 13:47,Term 1,Emergency Situation,Regional North and West,Wambuul-Macquarie,Utility Failure,,,An employee reports a utility failure on school grounds. The school is managing the matter. School Executive staff are aware.,1,On workplace grounds
S-2023-375980,27/01/2023 14:04,Term 1,Emergency Situation,Regional North and West,Wambuul-Macquarie,Utility Failure,,,"Executive staff member reports an incident on school grounds due to a utility failure. No emergency services required. AMU will be notified. Supports in place. Director, educational leadership has been notified.",1,On workplace grounds
S-2023-376111,30/01/2023 9:29,Term 1,Welfare,Rural North,Lismore,Problematic and Harmful Sexualised Behaviour,,,Executive staff member reports students engaging in inappropriate behaviour on school grounds. ##### has been followed. Executive staff aware. School to gather more information. #####,1,On workplace grounds
S-2023-376275,30/01/2023 15:16,Term 1,Emergency Situation,Regional North,Mooney Mooney,Utility Failure,,,Executive staff reports a sewer had overflowed onsite. Emergency services were called. Asset Management Unit is aware. A plumber and electrician have been engaged to fix the issues. Director Educational Leadership is aware. School remains operational today.,1,On workplace grounds
S-2023-376321,30/01/2023 17:57,Term 1,Criminal Activity,Regional North,Port Stephens,Bomb Threat/Suspicious Package,,,The school has received threats to the school from an anonymous caller. Police have been contacted and their advice will be followed. DEL is aware and appropriate supports will be available for staff.,1,On workplace grounds
S-2023-376482,31/01/2023 11:55,Term 1,Welfare,Regional North and West,Great Lakes,Student Behaviour,,,"An executive employee reports an incident with a student on school grounds. No injuries sustained. Student was collected from school grounds. Supports will be implemented. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-376508,31/01/2023 12:25,Term 1,Emergency Situation,Rural North,Richmond,Utility Failure,,,"Executive staff report Utility failure causing school closure due to no running water.Electricity Provider to be contacted. Parents notified and students collected. Director, Educational Leadership is aware",1,On workplace grounds
S-2023-376522,31/01/2023 12:38,Term 1,Emergency Situation,Metropolitan South and West,Woronora River,Structural Fire,,,"Structural Fire in ceiling of school Building  #####. No injuries reported. Fire Brigade on site now. School evacuated to Emergency Assembly area. Exec Dir is aware, SINSW Director is aware, AMU attending site",1,On workplace grounds
S-2023-376707,31/01/2023 15:44,Term 1,Emergency Situation,Metropolitan South and West,Glenfield,Utility Failure,,,Executive staff reports utility failure on school grounds. The school is managing the matter. School Executive staff are aware.,1,On workplace grounds
S-2023-376781,1/02/2023 8:04,Term 1,Violence,Regional North and West,Bathurst,Allegations Of Sexual Assault,,Sexting,"An Executive staff member reports allegations of ##### assault involving ##### student. Police have been informed. Parent notified. Supports are in place. ##### has been followed. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-376978,1/02/2023 11:03,Term 1,Welfare,Regional South,Goulburn,Problematic and Harmful Sexualised Behaviour,,,"Executive staff member reports student engaging in inappropriate behaviour on school grounds. ##### has been followed. Executive staff aware. Director, Educational Leadership aware.  #####",1,On workplace grounds
S-2023-376997,1/02/2023 11:32,Term 1,Emergency Situation,Rural South and West,West Wyalong,Utility Failure,,,"Executive staff reports a utility failure on school grounds. No injuries sustained. Asset Management unit to be informed. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-376999,1/02/2023 11:37,Term 1,Welfare,Regional North and West,Bathurst,Problematic and Harmful Sexualised Behaviour,,,"An executive staff member reported a student who displayed an inappropriate behaviour towards serveral students on school grounds. ##### was followed. Police were notified. Parents are aware. Support will be provided to the involved students. School continues to manage the matter. Director, Educational Leadership was notified.",1,On workplace grounds
S-2023-377142,1/02/2023 13:43,Term 1,Emergency Situation,Regional South,Lake Illawarra South,Utility Failure,,,"An executive staff member reports utility failure affecting water supply on school grounds. The school remains operational. Asset management unit to be contacted. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-377149,1/02/2023 13:46,Term 1,Violence,Regional North,Lake Macquarie North,Assault,,,An executive staff member reports an employee sustained an injury after being assaulted by a student on school grounds. First aid was administered and staff member has been conveyed to hospital for further treatment. Police were notified and parents have been contacted. Supports are in place and school currently managing the matter.,1,On workplace grounds
S-2023-377150,1/02/2023 13:47,Term 1,Violence,Metropolitan South and West,Eastern Creek,Indecent Assault,,,Executive staff member reports student disclosing incidents of ##### Assault on school grounds by another student. ##### has been followed #####,1,On workplace grounds
S-2023-377286,1/02/2023 15:00,Term 1,Violence,Metropolitan South and West,Bungarribee,Threat / Intimidation / Offens. Conduct,,,Executive staff reports threatening behaviour displayed by ##### students on school grounds. No injuries were sustained. Police have been notified. Supports are available. Police will be contacted. Director Educational Leadership will be advised.,1,On workplace grounds
S-2023-377376,1/02/2023 16:02,Term 1,Emergency Situation,Rural North,Peel,Utility Failure,,,An employee called to report a utility failure. No injuries. Assets management unit has been notified. Executive staff are aware.,1,On workplace grounds
S-2023-377423,1/02/2023 16:29,Term 1,Violence,Metropolitan South and West,Eastern Creek,Assault,,,Executive staff member reports a student has assaulted a parent on school grounds. First aid applied. Police called. Parents have been notified. Director Educational Leadership is aware.,1,On workplace grounds
S-2023-377454,1/02/2023 16:43,Term 1,Violence,Regional North and West,Mudgee,Assault,,,An executive staff member reports that ##### students assaulted each other on school grounds. First aid was administered. Parents were notified.##### student was conveyed to hospital and has received medical treatment. Supports to be organised.,1,On workplace grounds
S-2023-377468,1/02/2023 16:51,Term 1,Violence,Regional North,Glenrock,Assault,,,An Executive reports a student has an injury after being physically assaulted by ##### students on school grounds. No first aid was administered. Parents were notified and the student will be collected. Ambulance was called and conveyed student to Hospital. ##### to be run. Supports are in place. Executive staff are aware.,1,On workplace grounds
S-2023-377553,2/02/2023 8:33,Term 1,Emergency Situation,Regional North and West,Great Lakes,Utility Failure,,,"An executive staff member reports a utility failure on school grounds. Emergency services were contacted. The lift is non-operational and will require maintenance. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-377569,2/02/2023 8:53,Term 1,Violence,Metropolitan South and West,Cowpasture,Allegations Of Sexual Assault,,,An employee reports allegations of ##### assault disclosed by student to staff which occurred off school grounds. Police have been notified and ##### has been followed. Parents were notified and collected student from the school. Supports are in place.,1,On workplace grounds
S-2023-377674,2/02/2023 9:56,Term 1,Violence,Metropolitan South and West,Fairfield,Threat / Intimidation / Offens. Conduct,,,"Executive staff reports a student displayed threatening and intimidating behaviour on school grounds. Parents will be notified. ##### to be conducted. Supports to be put in place. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-378025,2/02/2023 13:30,Term 1,Emergency Situation,Metropolitan North,Gordon,Utility Failure,,,"An employee called to report a utility failure. No injuries. Assets management unit will be notified. Director, Educational, Leadership is aware",1,On workplace grounds
S-2023-378233,2/02/2023 15:18,Term 1,Welfare,Regional North,Brisbane Water,Self Harm,,Student Welfare Concerns,An executive employee reports welfare concerns for a student following an incident of ##### off school grounds. Police and ambulance were contacted. Parent was notified. ##### will be made. Supports will be put in place.,1,On workplace grounds
S-2023-378235,2/02/2023 15:19,Term 1,Emergency Situation,Regional North and West,Great Lakes,Utility Failure,,,"Executive staff member reports a utility failure on school grounds. No emergency services required. Director, educational leadership is aware.",1,On workplace grounds
S-2023-378324,2/02/2023 15:52,Term 1,Violence,Metropolitan South,Iron Cove,Assault,,,"An executive staff member reports that a student assaulted another student on school grounds. First aid was administered. Parents were notified. The student has received medical treatment. Police have been notified. Media unit will be notified. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-378325,2/02/2023 15:52,Term 1,Violence,Metropolitan South and West,Fairfield,Allegations Of Sexual Assault,,,"An executive staff member reports a student has disclosed allegations of ##### assault on school grounds. Parents are aware. ##### followed. Police to be notified. Support is in place. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-378387,2/02/2023 16:25,Term 1,Violence,Regional South,Campbelltown,Assault,,,"An executive staff member reports that ##### students assaulted each other and ##### staff members on school grounds. First aid was administered. Parents were notified. Supports are in place. Media unit has been notified. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-378525,3/02/2023 8:42,Term 1,Violence,Regional North and West,Bathurst,Assault,,,Executive staff report multiple students have threatened and physically assaulted a student before absconding school grounds. First aid administered. Parents and paramedics contacted. Paramedics assessed student and they were transported to hospital by a parent for medical treatment. Absconding students were located at home. Police contacted and attended. School is managing the matter and supports are in place. The Director of Educational Leadership is aware.,1,On workplace grounds
S-2023-378602,3/02/2023 9:27,Term 1,Welfare,Regional North and West,Coffs Harbour,Student Behaviour,,,Executives staff member reports concerns due to the behaviour of several students on school grounds. No injuries sustained. Police and parents were called. Supports are being arranged. ##### will be followed. Director Educational Leadership will be notified.,1,On workplace grounds
S-2023-378651,3/02/2023 10:07,Term 1,Violence,Rural North,Peel,Assault,,,"A staff member reports a physical altercation between ##### students on school grounds which was filmed and shared onto a social media platform. First aid was not requested. Parents were notified and the school have managed the matter. Media unit and the Director, Educational Leadership were notified",1,On workplace grounds
S-2023-378692,3/02/2023 10:35,Term 1,Welfare,Metropolitan South and West,Cowpasture,Problematic and Harmful Sexualised Behaviour,,,Executive staff member reports a student displayed inappropriate behaviour on school grounds. ##### has been followed. #####,1,On workplace grounds
S-2023-378733,3/02/2023 10:56,Term 1,Welfare,Regional North and West,Taree,Problematic and Harmful Sexualised Behaviour,,,"Executive staff member reports student engaging in inappropriate behaviour on school grounds. ##### has been followed. Executive staff aware. Director, Educational Leadership aware. #####",1,On workplace grounds
S-2023-378762,3/02/2023 11:23,Term 1,Violence,Rural South and West,Gundagai,Assault,,Staff Welfare Concerns,"Executive staff member reports a staff member assault on a student on school grounds. No injuries were sustained. Parents notified. ##### is being followed. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-378777,3/02/2023 11:33,Term 1,Welfare,Regional South,Campbelltown,Student Behaviour,,Self Harm,"Executive staff reports a student displayed #####  behaviour on school grounds. First aid administered. Parents were notified. Student was collected. The school is managing the matter. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-378858,3/02/2023 12:18,Term 1,Violence,Regional South,South Coast,Assault,,,An executive staff member reports a student sustained injuries after being assaulted by another student on school grounds. First aid was administered. An ambulance and Police attended. The school is managing the matter. Media unit will be notified.,1,On workplace grounds
S-2023-378946,3/02/2023 12:53,Term 1,Violence,Regional North and West,Hastings,Threat / Intimidation / Offens. Conduct,,Unauthorised Entry / Trespass,"An executive staff member reports a member of the school community gained unauthorised access onto school grounds while displaying threatening behaviour. No injuries were sustained and no first aid was required. Police were contacted and parents have been notified. Director, Education Leadership will be notified. School is currently managing the matter.",1,On workplace grounds
S-2023-379000,3/02/2023 13:22,Term 1,Emergency Situation,Metropolitan South,Bondi,Utility Failure,,,"An executive staff member reports partial utility failure on school grounds. Relevant reporting has been followed and FMwebb will be logged. Director, Education Leadership has been notified and school is currently managing the matter.",1,On workplace grounds
S-2023-379071,3/02/2023 13:50,Term 1,Welfare,Metropolitan South and West,Bungarribee,Student Behaviour,,,"An employee reports a student displaying #####  behaviour on school grounds. No injuries sustained. Parents were notified. Student was collected. The school is managing the matter. Executive staff and Director, Educational Leadership are aware.",1,On workplace grounds
S-2023-379119,3/02/2023 14:19,Term 1,Emergency Situation,Metropolitan South,Chullora,Utility Failure,,,A staff member reports that a fire alarm was triggered on school grounds. Emergency services attended and resolved the matter. The school remained operational. Executive staff are aware.,1,On workplace grounds
S-2023-379208,3/02/2023 15:02,Term 1,Violence,Connected Communities Team 1,Connected Communities Team 1,Assault,,,An employee reports an altercation between multiple students on school grounds. First aid was administered. Ambulance was called. Parents were contacted. Media unit will be contacted. Executive staff are aware.,1,On workplace grounds
S-2023-379211,3/02/2023 15:03,Term 1,Welfare,Rural North,Tweed Coast,Attempted Suicide,,,"Executive staff member reports of welfare concerns for a student who has attempted ##### on school grounds. First aid applied. Ambulance called and student was conveyed to hospital for medical treatment. Parent notified. Supports will be amended Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-379236,3/02/2023 15:14,Term 1,Emergency Situation,Regional North and West,Hastings,Severe Storm,,,A staff member reports the school has been impacted by a severe storm causing damage to school infrastructure. No injuries have been sustained. Repairs will be sought. Supports have been offered. Executive staff are aware. Director of Educational Leadership will be made aware.,1,On workplace grounds
S-2023-379304,3/02/2023 15:32,Term 1,Violence,Rural North,Tweed Coast,Assault,,Threat / Intimidation / Offens. Conduct,A staff member reports they were assaulted and threatened by a student on school grounds. No injuries sustained. Parents were notified. School continue to manage. Executive staff are aware.,1,On workplace grounds
S-2023-379338,3/02/2023 15:40,Term 1,Violence,Rural North,Northern Tablelands,Threat / Intimidation / Offens. Conduct,,Student Welfare Concerns,"An Executive staff member reports a student exhibiting threatening and intimidating behaviour and the whereabouts of the student and another student are currently unknown. Parents and Carers are aware. ##### Guidelines will be followed. Director, Educational Leadership will be informed.",1,On workplace grounds
S-2023-379624,3/02/2023 17:48,Term 1,Violence,Rural North,Peel,Assault,,,"Executive staff member reports a student has physically assaulted multiple staff members on school grounds. A staff member sustained an injury. First aid was applied. Ambulance was contacted and attended. The staff member was conveyed to hospital for further medical treatment. Police will be contacted. The school is managing the matter and supports will be put in place. The Director, Educational Leadership was notified",1,On workplace grounds
S-2023-379648,5/02/2023 11:28,Term 1,Emergency Situation,Metropolitan South,Bondi,Utility Failure,,,"Executive staff member advised that a burning smell was coming from the communications room at the school. Asset Management Directorate advised. Precautions were take by the school. Director, Educational Leadership aware.",1,On workplace grounds
S-2023-379862,6/02/2023 10:05,Term 1,Welfare,Regional North and West,Great Lakes,Problematic and Harmful Sexualised Behaviour,,Nuisance Use of Technology,A staff member reports ##### student's were involved in problematic and harmful #####ised behaviour off school grounds. The staff member also reports a student was involved in nuisance use of technology. Parent's have been contacted. Supports will be put into place. Police will be notified. Mandatory has been followed. Executive staff are aware.,1,On workplace grounds
S-2023-379993,6/02/2023 11:22,Term 1,Welfare,Rural North,Peel,Self Harm,,,A student has ##### and assaulted an employee on school grounds. The employee sustained an injury however no first-aid was required. Emergency services and a carer were notified. Police and paramedics attended. Student was transported via ambulance to hospital for medical treatment. Executive staff aware.,1,On workplace grounds
S-2023-380066,6/02/2023 12:15,Term 1,Emergency Situation,Rural South and West,West Wyalong,Utility Failure,,,"Executive staff reports a utility failure on school grounds. No injuries sustained. Asset Management unit to be informed. Director, Educational Leadership has been made aware.",1,On workplace grounds
S-2023-380191,6/02/2023 13:34,Term 1,Welfare,Regional North,Port Stephens,Student Behaviour,,,A staff member reports an injury due to an incident of student behaviour that occurred on school grounds. First aid was administered. Supports have been offered. Executive staff are aware.,1,On workplace grounds
S-2023-380194,6/02/2023 13:37,Term 1,Violence,Metropolitan South,Georges River,Threat / Intimidation / Offens. Conduct,,,An executive staff member reports a student made multiple threats towards another student on school grounds. The police were notified. The school is managing the matter. Supports are in place.,1,On workplace grounds
S-2023-380283,6/02/2023 14:23,Term 1,Violence,Regional North and West,Upper Hunter,Assault,,,"An executive staff member reports several students were physically assaulted by ##### students on school grounds. First aid was provided to the injured students. Parents were notified and students were collected. Police were called. Supports are in place. Media Unit will be contacted. Director, Educational Leadership will be advised.",1,On workplace grounds
S-2023-380294,6/02/2023 14:28,Term 1,Violence,Regional North and West,Hastings,Threat / Intimidation / Offens. Conduct,,,"An Executive staff member reports a student has made a threat towards another student on school grounds. The school is managing the matter. Supports are in place. Parents are aware. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-380295,6/02/2023 14:28,Term 1,Emergency Situation,Rural South and West,Albury,Utility Failure,,,"School reports of utility failure on school grounds. External contractors have been notified and will attend school to rectify. Executive staff and Director, Educational Leadership are aware.",1,On workplace grounds
S-2023-380500,6/02/2023 15:37,Term 1,Violence,Rural South and West,Temora,Threat / Intimidation / Offens. Conduct,,,An executive staff member reports ##### current students and##### former student entered the school and made threats of physical violence. The police were notified. The school is managing the matter. Supports are in place.,1,On workplace grounds
S-2023-380502,6/02/2023 15:37,Term 1,Malicious Use of Technology,Regional South,Goulburn,Nuisance Use of Technology,,,"An executive staff member expresses welfare concerns for a student involved in an incident of nuisance use of technology on school grounds. Parents have been notified. ##### to be followed. Supports to be offered. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-380532,6/02/2023 15:47,Term 1,Violence,Regional North and West,Great Lakes,Assault,,Nuisance Use of Technology,"An executive staff member reports that multiple students were involved in a physical altercation on school grounds. First aid was offered. Parents were notified. The incident was filmed by a student. The school is still managing the matter. Director, Educational Leadership will be informed.",1,On workplace grounds
S-2023-380600,6/02/2023 16:10,Term 1,Emergency Situation,Connected Communities Team 1,Connected Communities Team 1,Structural Fire,,,"An Executive staff member reports a small grass fire on school grounds. Emergency services were contacted. No school impact. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-380629,6/02/2023 16:25,Term 1,Violence,Metropolitan North,Mount Druitt,Assault,,Child Protection,An executive staff member reports assault between ##### members of the school community off school grounds.,1,On workplace grounds
S-2023-380640,6/02/2023 16:30,Term 1,Violence,Regional North and West,Lithgow,Assault,,,"Executive employee a student has sustained an injury after being assaulted by another student on school grounds. Parents have been contacted and students have left site. Supports have been organised for the injured student. Police will be contacted. Media Unit have been advised. Director, Educational Leadership has been informed.",1,On workplace grounds
S-2023-380689,6/02/2023 16:53,Term 1,Violence,Regional North and West,Wambuul-Macquarie,Assault,,,"A staff member reports ##### students involved in an assault on school grounds. First aid was offered. Ambulance was contacted. Parents were notified and collected the students. School continue to manage. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-380735,7/02/2023 8:02,Term 1,Welfare,Regional North and West,Macleay Valley,Student Welfare Concerns,Student Personal Traumatic Incident,,"An executive staff member reports wellbeing concerns for a student after a personal traumatic incident occurred on school grounds. Parent contacted and student collected. Supports in place. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-380748,7/02/2023 8:20,Term 1,Welfare,Regional North and West,Great Lakes,Problematic and Harmful Sexualised Behaviour,,,Executive staff member reports a student displayed inappropriate behaviour on school grounds. ##### has been followed. #####,1,On workplace grounds
S-2023-380897,7/02/2023 9:49,Term 1,Violence,Regional North,Newcastle,Allegations Of Sexual Assault,,Suicidal Intentions,Executive staff member reports a student disclosing an Allegation of ##### assault by another student on school grounds. ##### has been followed. #####,1,On workplace grounds
S-2023-380980,7/02/2023 10:24,Term 1,Violence,Metropolitan South,Kogarah,Assault,,,"An employee reports that a student assaulted another student with an implement on school grounds. First aid was not required. Parents have been notified. Police will be notified. Supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-381204,7/02/2023 12:21,Term 1,Welfare,Regional North,Brisbane Water,Student Welfare Concerns,Absconding / Missing Student,,"An executive staff member reports concerns for a student after they absconded school grounds. Parents have been contacted. Police have been called. Supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-381268,7/02/2023 13:01,Term 1,Welfare,Regional South,Wollongong North,Attempted Suicide,,,An Executive reports a student attempted ##### on school grounds. An Ambulance and Police were contacted and the student was conveyed to Hospital. Supports are in place. Parents and Executive staff are aware.,1,On workplace grounds
S-2023-381272,7/02/2023 13:05,Term 1,Violence,Rural South and West,Queanbeyan,Indecent Assault,,,Executive staff member reports an incident on schol grounds involving ##### students due to ##### assault. No injuries sustained. Parents will be notified. Police will be notified. Supports to be put into place. Executive staff are aware.,1,On workplace grounds
S-2023-381289,7/02/2023 13:20,Term 1,Violence,Regional North and West,Upper Hunter,Assault,,Threat / Intimidation / Offens. Conduct,"Staff member reports multiple students involved in a physical altercation on school grounds. An employee has sustained an injury after intervening. No first aid required. Parents informed. Incident was filmed school is managing the matter and supports will be arranged. Executive staff aware. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2023-381577,7/02/2023 15:09,Term 1,Violence,Metropolitan North,Carlingford,Allegations Of Sexual Assault,,,Executive staff member reports well-being concerns for a student following inappropriate behaviour that occurred on school grounds. ##### has been followed. Parent aware. Executive staff aware. #####,1,On workplace grounds
S-2023-381600,7/02/2023 15:18,Term 1,Violence,Metropolitan South and West,Bankstown,Threat / Intimidation / Offens. Conduct,,,A staff member reports they were threatened by a student on school grounds. Parents to be notified. School continue to manage. Executive staff are aware.,1,On workplace grounds
S-2023-381672,7/02/2023 15:36,Term 1,Violence,Metropolitan South,Iron Cove,Assault,,,"An executive staff member reports a student assaulted a student on school grounds. First aid not required. Ambulance was contacted. Parents were notified. School continue to manage. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-381683,7/02/2023 15:39,Term 1,Violence,Rural South and West,Wagga Wagga,Threat / Intimidation / Offens. Conduct,,,"Executive staff member reports a student has made a direct to threat to harm a staff member on school grounds. No physical injuries were sustained. Supports are in place. Parents were contacted. School is managing the matter at a local level. Director , Educational Leadership has been made aware",1,On workplace grounds
S-2023-381692,7/02/2023 15:41,Term 1,Violence,Regional North and West,Upper Hunter,Assault,,Student Behaviour,An Employee reports a student sustained an injury on school grounds. First aid has been administered. Parents were contacted. Ambulance was called and student conveyed to hospital. Supports are in place. Executive staff are aware,1,On workplace grounds
S-2023-381704,7/02/2023 15:45,Term 1,Violence,Regional North and West,Great Lakes,Threat / Intimidation / Offens. Conduct,,Possession of a Weapon,Executive staff member reports a student has threatened another student with a weapon on school grounds. No injuries. Police were called. Parents called and collected student. Director Educational Leadership is aware.,1,On workplace grounds
S-2023-381719,7/02/2023 15:51,Term 1,Violence,Regional South,Lake Illawarra North,Threat / Intimidation / Offens. Conduct,,Self Harm,"Executive staff report welfare concerns for a student who threatened ##### after being verbally abused by student. Paramedics and parents contacted. Student was transported via ambulance to hospital for medical treatment. School is managing the matter and supports are in place. Executive staff aware. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-381750,7/02/2023 15:58,Term 1,Violence,Regional North and West,Taree,Assault,,,An employee reports of a student assaulting another student on school grounds. First aid was administered. Parents will be notified. The school is managing the matter. Supports are in place. Executive staff are aware.,1,On workplace grounds
S-2023-381792,7/02/2023 16:15,Term 1,Violence,Regional North and West,Upper Hunter,Assault,,,A staff member reports students were involved in a physical altercation on school grounds. No first aid required. Parents to be notified. Supports offered. Executive staff are aware.,1,On workplace grounds
S-2023-381880,7/02/2023 16:48,Term 1,Welfare,Regional North and West,Coffs Harbour,Student Behaviour,,,An employee reports a student was #####  and damaged school property. The school was put into a lock down. Carer was notified and collected the student. Lock down was lifted. Supports are in place. Executive staff aware.,1,On workplace grounds
S-2023-382033,8/02/2023 8:50,Term 1,Welfare,Rural South and West,Eden-Monaro,Attempted Suicide,,,Employee reports a student has attempted ##### on school grounds. No injuries sustained. Carers were called and collected the student. Supports are in place. Executive staff are aware.,1,On workplace grounds
S-2023-382085,8/02/2023 9:32,Term 1,Violence,Regional North and West,Maitland,Assault,,Threat / Intimidation / Offens. Conduct,An employee reports being physically assaulted by a student after threatening and intimidating behaviour was displayed on school grounds. No first aid administered. Student remained on school grounds. Parents to be notified. The school is managing the matter. Executive staff are aware.,1,On workplace grounds
S-2023-382093,8/02/2023 9:39,Term 1,Welfare,Metropolitan South,Strathfield,Student Behaviour,,,An employee reports an incident of a student's behaviour on school grounds. Parents have been notified. Supports are in place. Executive staff are aware.,1,On workplace grounds
S-2023-382095,8/02/2023 9:41,Term 1,Weapon,Rural South and West,Gundagai,Possession of a Weapon,,Threat / Intimidation / Offens. Conduct,"An executive staff member reports that a student suspected to be in possession of a weapon on school grounds. The weapon yet to be located. Carer contacted. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2023-382116,8/02/2023 9:48,Term 1,Welfare,Regional South,Camden,Student Welfare Concerns,Absconding / Missing Student,,"An executive staff member reports a student has absconded from school grounds. The student's location is unknown. Police have been contacted. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-382124,8/02/2023 9:51,Term 1,Violence,Regional North and West,Wambuul-Macquarie,Assault,,,An executive staff member reports a physical altercation between multiple students where staff members have been assaulted. Ambulance was called and parents have been notified. Police will be notified. Supports are in place and school is managing the matter.,1,On workplace grounds
S-2023-382265,8/02/2023 10:39,Term 1,Welfare,Regional North,Cessnock,Problematic and Harmful Sexualised Behaviour,,,Executive staff member reports a student displayed inappropriate behaviour on school grounds. ##### has been followed. #####,1,On workplace grounds
S-2023-382269,8/02/2023 10:42,Term 1,Welfare,Regional South,Wollongong,Problematic and Harmful Sexualised Behaviour,,,Executive staff reports a student has displayed inappropriate behaviour on school grounds. ##### will be followed. Police will be made aware. Supports are available for all students involved. School is managing the matter. Director educational Leadership will be advised.,1,On workplace grounds
S-2023-382282,8/02/2023 10:48,Term 1,Welfare,Metropolitan North,The Ponds,Student Behaviour,,,"Executive staff member reports a staff member sustained an injury due to a students #####  behaviour on school grounds. No first aid required. Parents were notified. Asset management unit notified of property damage. Supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-382291,8/02/2023 10:50,Term 1,Emergency Situation,Metropolitan North,Pittwater,Utility Failure,,,"Executive staff member reports utility failure as a result of contractors working on school grounds. The school remains operational. The area has been isolated. No injuries were sustained. Asset management unit has been notified. Director, Educational Leadership to be made aware.",1,On workplace grounds
S-2023-382420,8/02/2023 11:40,Term 1,Violence,Metropolitan North,Quakers Hill,Indecent Assault,,,An employee reports an ##### assault from a student during an offsite school activity. Parents have been notified. Executive staff are aware. Supports are in place. School continue to manage the matter.,1,Off site activity
S-2023-382451,8/02/2023 11:48,Term 1,Emergency Situation,Rural South and West,Orange,Utility Failure,,,"Executive staff member reports utility failure due to council works off school grounds. The school remains operational. Communication has been sent to parents and the school community. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-382468,8/02/2023 11:53,Term 1,Weapon,Rural North,Namoi,Possession of a Weapon,,,A staff member reports that a student was in possession of a weapon on school grounds. The weapon has been confiscated. No injuries were sustained. Parents were notified and the student will be collected. Supports are in place. Executive staff are aware,1,On workplace grounds
S-2023-382492,8/02/2023 12:02,Term 1,Violence,Regional North,Lake Macquarie East,Indecent Assault,,,"An executive staff member reports a student has made allegations of ##### assault by another student at an off site activity. Parents have been contacted. ##### to be followed. Director, Educational Leadership to be notified.",1,Off site activity
S-2023-382660,8/02/2023 13:00,Term 1,Violence,Regional North,Hawkesbury,Assault,,Problematic and Harmful Sexualised Behaviour,"An executive employee reports a student being physically assaulted by another student on school grounds. First aid administered. Parents were notified. Injured student was collected. The school is managing the matter. Director, Educational Leadership will be notified.",1,On workplace grounds
