Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-061052,7/03/2022 20:09,Term 1,Emergency Situation,Regional South,Shoalhaven,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061054,7/03/2022 20:10,Term 1,Emergency Situation,Rural North,Richmond,Flood,,,"Executive staff member reports school will be Non Operational on ##### due to flooding. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061057,7/03/2022 20:16,Term 1,Emergency Situation,Regional North,Hawkesbury,Flood,,,"An executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operations from #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061059,7/03/2022 20:18,Term 1,Emergency Situation,Metropolitan South and West,Fairfield,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061062,7/03/2022 20:20,Term 1,Emergency Situation,Regional South,Lake Illawarra South,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061065,7/03/2022 20:22,Term 1,Emergency Situation,Regional South,Shoalhaven,Flood,,,"An Executive staff member reports the school is operating with minimal staff onsite due to a flood event affecting the local area. Director, Educational Leadership is aware",1,On workplace grounds
S-2022-061070,7/03/2022 20:29,Term 1,Emergency Situation,Rural North,Lismore,Flood,,,"Executive staff member reports school is non operational due to flooding #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061071,7/03/2022 20:32,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061072,7/03/2022 20:32,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,"An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operations from #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061077,7/03/2022 20:34,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,An Executive reports the school will be non operational due to the floods . School community and Executives are aware.,1,On workplace grounds
S-2022-061079,7/03/2022 20:34,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061084,7/03/2022 20:35,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061086,7/03/2022 20:36,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,"An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operations from ##### . Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061085,7/03/2022 20:36,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,An Executive reports the school will be non operational due to the floods. School community and Executives are aware.,1,On workplace grounds
S-2022-061092,7/03/2022 20:38,Term 1,Emergency Situation,Metropolitan South and West,Penrith,Flood,,,"An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operations from #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061101,7/03/2022 21:03,Term 1,Emergency Situation,Regional North,Windsor,Flood,,,"An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operations from #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061104,7/03/2022 21:07,Term 1,Emergency Situation,Regional North,Windsor,Flood,,,"An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operations from #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061111,7/03/2022 21:09,Term 1,Emergency Situation,Regional North,Windsor,Flood,,,"An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operations from #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061114,7/03/2022 21:11,Term 1,Emergency Situation,Regional North,Windsor,Flood,,,"An Executive staff member reports the school is non-operational due to flooding in the area. The school has ceased operations from #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061126,7/03/2022 21:22,Term 1,Emergency Situation,Metropolitan South and West,Chipping Norton,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061130,7/03/2022 21:25,Term 1,Emergency Situation,Metropolitan South and West,Chipping Norton,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061132,7/03/2022 21:28,Term 1,Emergency Situation,Metropolitan South and West,Chipping Norton,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061134,7/03/2022 21:30,Term 1,Emergency Situation,Metropolitan South and West,Chipping Norton,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061136,7/03/2022 21:32,Term 1,Emergency Situation,Metropolitan South and West,Chipping Norton,Flood,,,"An Executive staff member reports the school is non-operational due to a flood event affecting the local area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061138,7/03/2022 21:34,Term 1,Emergency Situation,Regional South,Macarthur,Flood,,,"An Executive staff member reports the school is operating under minimal supervision on ##### due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061141,8/03/2022 5:55,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061143,8/03/2022 5:58,Term 1,Emergency Situation,Connected Communities,Connected Communities Team 1,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061145,8/03/2022 6:01,Term 1,Emergency Situation,Connected Communities,Connected Communities Team 1,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061147,8/03/2022 6:06,Term 1,Emergency Situation,Connected Communities,Connected Communities Team 2,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061150,8/03/2022 6:09,Term 1,Emergency Situation,Regional South,Lake Illawarra South,Flood,,,"An executive staff member reports the school will be operating under minimal supervision due to flooding in the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061149,8/03/2022 6:09,Term 1,Emergency Situation,Connected Communities,Connected Communities Team 2,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061153,8/03/2022 6:11,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-061156,8/03/2022 6:13,Term 1,Emergency Situation,Regional North and West,Macleay Valley,Flood,,,"An Executive staff member reports the school has ceased operations due to a flood event affecting the area. Director, Educational Leadership is aware.",1,On workplace grounds
