Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2020-310641,7/08/2020 15:25,Term 3,Violence,Metropolitan South,Botany Bay,Assault,,,"Executive staff member reports xxxxx students xxxxx assaulted a staff member and another student on school grounds. The incident was filmed by other students. Media unit will be notified. Parents were contacted. Police have been informed. School is managing the matter. The Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2020-310794,7/08/2020 16:01,Term 3,Emergency Situation,Regional North and West,Lithgow,Utility Failure,,,The school will temporarily cease operations on XXXX due to a planned electrical outage. The school will not have access to water or electricity as a result of the outage. The electricity is anticipated to be restored by XXXX that day. Director is aware.,1,On workplace grounds
S-2020-310821,7/08/2020 16:13,Term 3,Violence,Metropolitan South & South West,Glenfield,Indecent Assault,,,"An executive staff member reports a student has inappropriately touched XXXX other students on school grounds. The school is managing the matter. Parents have been made aware. Supports are in place for all students. #### has been followed. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2020-310918,7/08/2020 16:56,Term 3,Violence,Rural South and West,Wagga Wagga,Indecent Assault,,,"Executive staff member reports that a student has inappropriately touched other students on school grounds. Supports are in place. Director, Educational Leadership will be informed. #####.",1,On workplace grounds
S-2020-311164,10/08/2020 8:03,Term 3,Emergency Situation,Regional South,South Coast,Utility Failure,,,Executive staff report school will be non operational due to being impacted by the weather.,1,On workplace grounds
S-2020-311167,10/08/2020 8:08,Term 3,Emergency Situation,Regional South,Shoalhaven,Flood,,,"Executive staff reports that the school is ceasing operations for the day due to flooding in the area. No staff or students on school grounds. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-311355,10/08/2020 9:27,Term 3,Violence,Regional South,Yass,Allegations Of Sexual  Assault,,,"Executive staff reporting parents have reported an allegation of ####  assault involving XXXX students on school grounds. Police have been notified. #### will be followed.  Supports are in place and Director, Educational Leadership has been notified.",1,On workplace grounds
S-2020-311389,10/08/2020 9:34,Term 3,Emergency Situation,Rural South and West,Gundagai,Utility Failure,,,"Executive staff member reports a power and water outage on school grounds. External stakeholders have been notified and are currently trying to rectify the matter. School remains operational. Parents have been notified. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-311558,10/08/2020 10:10,Term 3,Violence,Regional North,Newcastle,Assault,,,Executive staff member reports of xxxxx students engaged in a verbal and xxxxx assault on school grounds. First aid administered. Parents notified. Ambulance called for one student and they were transported to hospital for medical treatment. Supports in place for both students. School will continue to manage.,1,On workplace grounds
S-2020-311976,10/08/2020 11:31,Term 3,Emergency Situation,Metropolitan South & South West,Liverpool,Severe Storm,,,A school has been impacted due to severe weather causing a large tree to uproot and fall causing damages to school fence. The area has been cordoned off and emergency services have been contacted. Executive staff are aware and internal notifications have been made.,1,On workplace grounds
S-2020-312111,10/08/2020 11:57,Term 3,Emergency Situation,Metropolitan South & South West,Woronora River,Severe Storm,,,"An executive staff member reported the school is currently in lockdown awaiting the SES as a part of a roof has become dislodged and is creating a potential hazard. The school community has been informed. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2020-312149,10/08/2020 12:03,Term 3,Violence,Rural South and West,Mitchell,Assault,,,A staff member and student sustained injuries after being impacted by a student in a heightened mood. First aid administered. Parents notified. An ambulance and police were contacted. Student was conveyed to hospital for a medical xxxxx. Supports are in place for staff and students involved.,1,On workplace grounds
S-2020-312503,10/08/2020 13:35,Term 3,Malicious Use of Technology,Regional North and West,Bathurst,Nuisance Use of Technology,,Student Behaviour,"A student has shown inappropriate images to other students on school grounds. Police will be contacted and the Director, Educational Leadership has been notified.",1,On workplace grounds
S-2020-312745,10/08/2020 14:32,Term 3,Emergency Situation,Regional North,Mooney Mooney,Flood,,,"Executive staff reports flooding to an area of the school. No injuries have been sustained. School remains operational. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2020-312926,10/08/2020 14:59,Term 3,Emergency Situation,Regional South,Shoalhaven,Severe Storm,,,"A staff member reported the school has been damaged as a result of extreme weather conditions. Access to the affected area of the school is now restricted. The appropriate reports have been made. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2020-312995,10/08/2020 15:14,Term 3,Welfare,Metropolitan South & South West,Glenfield,Self Harm,,,Executive staff report of student welfare concerns after a student had self harmed on school grounds. Parents were notified. An ambulance was called and conveyed student to Hospital for medical treatment. Supports are in place for student involved.,1,On workplace grounds
S-2020-313155,10/08/2020 15:54,Term 3,Violence,Regional North and West,Hunter,Indecent Assault,,Assault,"A student assaulted XXXX employees and indecently assaulted XXXX of the employees on school grounds. XXXX were contacted and the matter was managed at a local level. Supports are in place for the student and employees involved. Director, Educational Leadership will be notified.",1,On workplace grounds
