Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-298742,13/10/2022 13:24,Term 4,Violence,Regional North,Lake Macquarie North,Allegations Of Sexual Assault,,,Executive staff has expressed concerns for the welfare of a student following allegations of ##### assault on the school grounds by a student and problematic ##### behaviour of the same student. ##### has been followed. School is investigating.,1,On workplace grounds
S-2022-298820,13/10/2022 14:14,Term 4,Violence,Metropolitan North,Cambridge Park,Assault,,,A staff member reports a student assaulted ### and #### on school grounds. The student displayed unsafe behaviour. First aid applied for the student. School continue to manage. Executive staff are aware.,1,On workplace grounds
S-2022-298892,13/10/2022 14:41,Term 4,Violence,Regional South,South Coast,Assault,,Sexting,"An executive employee reports #### students were involved in a physical altercation and nuisance use of technology on school grounds. First aid administered. Parents notified. Police contacted. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2022-298951,13/10/2022 15:03,Term 4,Welfare,Regional South,Camden,Student Welfare Concerns,Student Personal Traumatic Incident,,An executive staff member expressed wellbeing concerns for ##### students involved in a personal traumatic incident off school grounds. Supports in place. School continue to manage.,1,On workplace grounds
S-2022-299002,13/10/2022 15:17,Term 4,Emergency Situation,Rural South and West,Deniliquin,Flood,,,"An executive staff member reports due to severe weather event the school was partially flooded. State Emergency Services were contacted and attended the school. School will remain operational and is accessible by road. No damage noted to the school. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-299093,13/10/2022 15:43,Term 4,Violence,Metropolitan North,The Ponds,Threat / Intimidation / Offens. Conduct,,,Executive staff member reports a student in a ##### state has threatened staff on school grounds. Police ambulance and parents were called. Student was restrained and assessed by paramedics. Paramedics conveyed student to hospital. No injuries sustained. Director Educational Leadership will be notified.,1,On workplace grounds
S-2022-299112,13/10/2022 15:47,Term 4,Violence,Metropolitan South,Kogarah,Indecent Assault,,,"An executive staff member reports an incident of ##### assault by a student on school grounds. Parents are aware. Police were informed. Supports have been offered. ##### is being followed. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-299193,13/10/2022 16:13,Term 4,Violence,Regional North and West,Mudgee,Assault,,,An employee reports that ##### student were involved in a physical altercation on school grounds. The incident was filmed by another student using their phone. It is unknown if the footage has been circulated to other students via the online system. First aid was provided. Support is in place. Police were contacted and will be investigating the matter. Media Unit to be contacted. Parents were informed. Executive staff were made aware.,1,On workplace grounds
S-2022-299232,13/10/2022 16:29,Term 4,Violence,Rural South and West,Temora,Assault,,,"An Executive staff member reports an incident of assault by a student toward another student on school grounds. First aid administered. Parents have been notified. Police will be notified. Media Unit will be notified. Supports are in place. The school is managing the matter. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-299256,13/10/2022 16:43,Term 4,Violence,Metropolitan South and West,Eastern Creek,Assault,,,"Executive staff report multiple physical altercations on school grounds between ##### students. First aid was administered. Police were notified and attended Parents were notified and collected the students. School is managing the matter. Supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-299299,13/10/2022 17:05,Term 4,Violence,Metropolitan South and West,Chipping Norton,Assault,,,"An Executive staff member reports a student in a ##### state has assaulted multiple employees on school grounds. No first aid was administered. Parents notified. Police were notified The school is managing the matter. Supports are in place for the student and employee. Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-299389,14/10/2022 8:06,Term 4,Welfare,Metropolitan South and West,Woronora River,Traffic Accident,,,A student sustained injuries following a ##### accident on the way home from school. First aid administered. Ambulance and Police were called and they attended onsite. Student was conveyed to hospital with parent. Executive staff is aware.,1,On workplace grounds
S-2022-299411,14/10/2022 8:34,Term 4,Emergency Situation,Rural North,Western Plains,Flood,,,"An executive staff member reports that the school will be non-operational as of ##### due to flooding issues surrounding the establishment and nearby areas. No staff and students on site. The school grounds have not been impacted by floods. Director, Educational Leadership was informed.",1,On workplace grounds
S-2022-299429,14/10/2022 8:56,Term 4,Emergency Situation,Rural North,Namoi,Flood,,,Executive staff member reports the school is non operational due to localized flooding in the area.,1,On workplace grounds
S-2022-299465,14/10/2022 9:48,Term 4,Emergency Situation,Rural South and West,Hume,Flood,,,"An Executive employee reports the school is non-operational ##### (#####) due to the floods. The school community has been advised. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-299487,14/10/2022 9:54,Term 4,Emergency Situation,Rural South and West,Hume,Flood,,,"An executive staff member reports the school will be operational and learning from home due to flooding. No injuries to staff or students. Staff members and parents have been informed. Supports are in place. School continues to manage the matter. Director, Educational Leadership is aware.",1,On workplace grounds
