"primary_category","principal_network_name","incident_count"
"Indecent Assault","St Andrews",48
"Indecent Assault","Eastern Creek",38
"Indecent Assault","Penrith",36
"Indecent Assault","Chipping Norton",33
"Indecent Assault","Maitland",33
